measure_date,station,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
2016-07-19,WE2,0.007,0.127,0.001,0.006,0.003,0.1,0.085,0.045,0.044,0.034,0.033,0.026,0.024
2016-08-08,WE2,0.009,0.125,0,0.011,0.009,0.105,0.101,0.061,0.064,0.036,0.035,0.03,0.026
2016-08-28,WE2,0.005,0.16,0.001,0.005,0.003,0.137,0.123,0.075,0.058,0.035,0.035,0.026,0.024
2016-10-07,WE2,0.007,0.16,0,0.004,0.002,0.141,0.132,0.094,0.076,0.038,0.039,0.029,0.024
2016-11-26,WE2,0.014,0.19,0.001,0.015,0.013,0.147,0.106,0.064,0.053,0.04,0.038,0.033,0.03
2017-03-16,WE2,0.011,0.162,0.001,0.004,0.002,0.142,0.133,0.121,0.111,0.065,0.058,0.048,0.037
2017-04-25,WE2,0.059,0.22,0.003,0.108,0.1,0.216,0.217,0.212,0.195,0.151,0.152,0.142,0.134
2017-05-15,WE2,0.011,0.14,0.001,0.009,0.007,0.124,0.127,0.123,0.11,0.057,0.055,0.045,0.034
2017-06-24,WE2,0.012,0.131,0.001,0.022,0.015,0.107,0.09,0.056,0.05,0.04,0.04,0.037,0.034
2017-07-09,WE2,0.01,0.126,0.001,0.018,0.014,0.099,0.081,0.049,0.042,0.034,0.033,0.029,0.028
2017-07-14,WE2,0.008,0.146,0.001,0.006,0.004,0.119,0.109,0.087,0.069,0.039,0.038,0.029,0.026
2017-07-29,WE2,0.012,0.148,0.001,0.018,0.014,0.135,0.139,0.128,0.138,0.089,0.091,0.075,0.063
2017-08-18,WE2,0.126,0.395,0.002,0.313,0.276,0.343,0.322,0.318,0.318,0.317,0.331,0.296,0.332
2017-08-23,WE2,0.01,0.139,0.001,0.013,0.008,0.114,0.11,0.063,0.071,0.043,0.043,0.036,0.032
2017-10-02,WE2,0.016,0.144,0.007,0.011,0.008,0.117,0.106,0.056,0.051,0.036,0.034,0.028,0.027
2017-10-17,WE2,0.006,0.146,0.001,0.004,0.003,0.126,0.116,0.072,0.061,0.032,0.03,0.024,0.02
2017-10-22,WE2,0.008,0.15,0.003,0.007,0.005,0.124,0.107,0.056,0.045,0.029,0.028,0.022,0.02
2017-11-06,WE2,0.011,0.18,0.001,0.011,0.008,0.154,0.138,0.097,0.08,0.046,0.043,0.036,0.03
2017-11-26,WE2,0.007,0.158,0.001,0.004,0.002,0.132,0.117,0.082,0.065,0.035,0.031,0.025,0.02
2018-03-01,WE2,0.637,1.033,0.145,0.228,0.234,1.017,0.942,1.006,1.011,1.023,1.032,1,1.022
2018-03-06,WE2,0.017,0.165,0.001,0.004,0.002,0.148,0.151,0.171,0.173,0.13,0.125,0.106,0.086
